time,disp_y_top,h,react_y_top,stress_yy
0.76,-0.17176,0.081726825400814,-5.8234433704792,-0.45069479295606
0.77,-0.17402,0.081726825400814,-6.0003173407547,-0.46427760317872
0.78,-0.17628,0.081726825400814,-6.1474861139187,-0.47549384515652
0.79,-0.17854,0.081726825400814,-6.2797641084542,-0.48551430072856
0.8,-0.1808,0.081726825400814,-6.4313120757226,-0.49704835206211
0.81,-0.18306,0.081726825400814,-6.6066312153199,-0.51045595191867
0.82,-0.18532,0.081726825400814,-6.7563000486356,-0.52181677954454
0.83,-0.18758,0.081726825400814,-6.8897988712162,-0.53188054263589
0.84,-0.18984,0.081726825400814,-7.0131064390594,-0.54112022825976
0.85,-0.1921,0.081726825400814,-7.2206681672829,-0.5570409432069
0.86,-0.19436,0.081726825400814,-7.4233543535881,-0.57255935822635
0.87,-0.19662,0.081726825400814,-7.5959060105574,-0.58567371106854
0.88,-0.19888,0.081726825400814,-7.7484268703396,-0.59718365321354
0.89,-0.20114,0.081726825400814,-7.9049337947893,-0.60899267522915
0.9,-0.2034,0.081726825400814,-8.1115830948668,-0.62476546703238
0.91,-0.20566,0.081726825400814,-8.3009495975994,-0.63915014677895
0.92,-0.20792,0.081726825400814,-8.469729093855,-0.65188578493603
0.93,-0.21018,0.081726825400814,-8.6198936323724,-0.66313011177319
0.94,-0.21244,0.081726825400814,-8.7570939820845,-0.67332846299829
0.95,-0.2147,0.081726825400814,-8.8853564227706,-0.68280027497883
0.96,-0.21696,0.081726825400814,-9.0071643633219,-0.69174203537019
0.97,-0.21922,0.081726825400814,-9.199081338917,-0.70624294138999
0.98,-0.22148,0.081726825400814,-9.4769927149344,-0.72756892333435
0.99,-0.22374,0.081726825400814,-9.7441151966965,-0.74801677988638
1,-0.226,0.081726825400814,-9.9973327818095,-0.76734094329243
1.01,-0.22148,0.081726825400814,-9.0635184639262,-0.69585143929708
1.02,-0.21696,0.081726825400814,-8.1355629181748,-0.62462190881442
1.03,-0.21244,0.081726825400814,-7.2932986940934,-0.56020087843238
1.04,-0.20792,0.081726825400814,-6.4762347349868,-0.49765999363653
1.05,-0.2034,0.081726825400814,-5.6656967934455,-0.43545682977407
1.06,-0.19888,0.081726825400814,-4.87938224418,-0.3750374222422
1.07,-0.19436,0.081726825400814,-4.1230775324675,-0.31688609382904
1.08,-0.18984,0.081726825400814,-3.4197786901254,-0.26288331247689
1.09,-0.18532,0.081726825400814,-2.749153349339,-0.21137444473027
1.1,-0.1808,0.081726825400814,-2.1202037049994,-0.16308618306196
1.11,-0.17628,0.081726825400814,-1.5326658897201,-0.11799629818457
1.12,-0.17176,0.081726825400814,-0.99068163234375,-0.076427477773811
1.13,-0.16724,0.081726825400814,-0.52693508926331,-0.040938113141098
1.14,-0.16272,0.081726825400814,-0.16501852094634,-0.013361941710154
1.15,-0.1582,0.081726825400814,-3.5724530870692e-13,-0.0008843282514549
1.16,-0.15368,0.081726825400814,-6.4383234698727e-13,-0.00088432823080635
1.17,-0.14916,0.081726825400814,6.051199190842e-13,-0.00088432821046189
1.18,-0.14464,0.081726825400814,-1.225513271152e-12,-0.00088432819011754
1.19,-0.14012,0.081726825400814,-1.9072883412739e-12,-0.00088432816977324
1.2,-0.1356,0.081726825400814,1.5128278641472e-14,-0.00088432814942914
1.21,-0.13108,0.081726825400814,-2.414025756229e-12,-0.00088432812908476
1.22,-0.12656,0.081726825400814,-2.9125513773429e-12,-0.00088432810874033
1.23,-0.12204,0.081726825400814,-2.9110806562489e-12,-0.00088432808839604
1.24,-0.11752,0.081726825400814,-3.8101796515094e-12,-0.00088432806805173
1.25,-0.113,0.081726825400814,-3.829956025143e-12,-0.00088432804770723
1.26,-0.10848,0.081726825400814,-4.4078961824562e-12,-0.00088432802736302
1.27,-0.10396,0.081726825400814,-3.8061905523854e-12,-0.00088432800701876
1.28,-0.09944,0.081726825400814,-2.7404078719735e-12,-0.00088432798667419
1.29,-0.09492,0.081726825400814,-3.8116994767974e-12,-0.00088432796632986
1.3,-0.0904,0.081726825400814,-4.965866978149e-12,-0.00088432794598541
1.31,-0.08588,0.081726825400814,-3.5181559170105e-12,-0.00088432792564119
1.32,-0.08136,0.081726825400814,-4.2781305053909e-12,-0.00088432790529666
1.33,-0.07684,0.081726825400814,-4.8375117498543e-12,-0.00088432788495211
1.34,-0.07232,0.081726825400814,-2.4869417243668e-12,-0.00088432786460764
1.35,-0.0678,0.081726825400814,-3.7537850339027e-12,-0.00088432784426324
1.36,-0.06328,0.081726825400814,-4.3599906535607e-12,-0.00088432782447878
1.37,-0.05876,0.081726825400814,-5.315004545083e-12,-0.00088432780413453
1.38,-0.05424,0.081726825400814,-4.1620743250863e-12,-0.0008843277837901
1.39,-0.04972,0.081726825400814,-5.2279088905014e-12,-0.00088432776344564
1.4,-0.0452,0.081726825400814,-6.3458707037472e-12,-0.00088432774310142
1.41,-0.04068,0.081726825400814,-4.645924841197e-12,-0.00088432772275702
1.42,-0.03616,0.081726825400814,-6.1068321056005e-12,-0.00088432770299481
1.43,-0.03164,0.081726825400814,-7.2386039194543e-12,-0.00088432768265051
1.44,-0.02712,0.081726825400814,-8.4314242989046e-12,-0.00088432766230611
1.45,-0.0226,0.081726825400814,-6.6737360605797e-12,-0.00088432764196182
1.46,-0.01808,0.081726825400814,-7.161190319869e-12,-0.00088432762215672
1.47,-0.01356,0.081726825400814,-8.4456687037479e-12,-0.00088432760181242
1.48,-0.0090399999999995,0.081726825400814,-7.0448717406159e-12,-0.00088432758146798
1.49,-0.0045199999999995,0.081726825400814,-8.0220541479406e-12,-0.0008843275611238
1.5,0,0.081726825400814,-9.3821204755537e-12,-0.00088432754077936
