763,0.213,10200,,,738,0.212,9660,,,720,0.209,9710,,,721,0.205,9720,,,721.3,0.20334,9715.4,,,820.95,0.21245,10655,,,930.04,0.22156,11653,,,1049.1,0.23065,12707,,,1178.8,0.23972,13823,,,1319.7,0.24879,15000,,,1472.3,0.25781,16243,,,1637.3,0.26689,17546,,,1724.5,0.27137,18211,,,1553.2,0.26236,16889,,,0,0,0,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s)
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1E-11,23.21,,440.21,0.13176,2.8152E-11,23.21,,500.26,0.13804,1.7211E-11,23.21,,566.02,0.14437,3.46E-11,23.21,,637.82,0.15072,1.28E-11,23.21,,716.05,0.15711,2.99E-12,23.21,,801,0.16351,2.99E-11,23.21,,893.15,0.16997,2.25E-11,23.21,,942.04,0.1732,9.75E-12,23.21,,846.13,0.16673,8.74E-12,23.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.25E-11,23.41,,440.21,0.13176,3.0937E-11,23.41,,500.26,0.13804,4.4945E-11,23.41,,566.02,0.14437,6.34E-12,23.41,,637.82,0.15072,6.91E-12,23.41,,716.05,0.15711,2.01E-11,23.41,,801,0.16351,2.20E-11,23.41,,893.15,0.16997,8.00E-12,23.41,,942.04,0.1732,3.72E-11,23.41,,846.13,0.16673,2.55E-11,23.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,4.2E-11,23.61,,440.21,0.13176,5.2758E-12,23.61,,500.26,0.13804,9.0684E-12,23.61,,566.02,0.14437,6.55E-11,23.61,,637.82,0.15072,1.01E-11,23.61,,716.05,0.15711,5.35E-11,23.61,,801,0.16351,8.71E-12,23.61,,893.15,0.16997,2.99E-11,23.61,,942.04,0.1732,1.36E-12,23.61,,846.13,0.16673,2.91E-11,23.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.67E-11,23.81,,440.21,0.13176,9.9833E-12,23.81,,500.26,0.13804,1.4344E-11,23.81,,566.02,0.14437,1.98E-11,23.81,,637.82,0.15072,4.58E-11,23.81,,716.05,0.15711,1.40E-11,23.81,,801,0.16351,3.52E-11,23.81,,893.15,0.16997,2.50E-11,23.81,,942.04,0.1732,3.12E-11,23.81,,846.13,0.16673,1.59E-12,23.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,9.35E-12,24.01,,440.21,0.13176,5.2211E-12,24.01,,500.26,0.13804,1.6424E-11,24.01,,566.02,0.14437,6.41E-12,24.01,,637.82,0.15072,1.60E-11,24.01,,716.05,0.15711,2.37E-11,24.01,,801,0.16351,3.14E-11,24.01,,893.15,0.16997,3.01E-11,24.01,,942.04,0.1732,6.17E-11,24.01,,846.13,0.16673,5.03E-11,24.01,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.13E-11,24.21,,440.21,0.13176,3.0039E-12,24.21,,500.26,0.13804,1.908E-11,24.21,,566.02,0.14437,5.18E-11,24.21,,637.82,0.15072,1.40E-11,24.21,,716.05,0.15711,1.99E-11,24.21,,801,0.16351,3.67E-11,24.21,,893.15,0.16997,1.48E-11,24.21,,942.04,0.1732,5.63E-11,24.21,,846.13,0.16673,5.77E-11,24.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.11E-11,24.41,,440.21,0.13176,2.1029E-11,24.41,,500.26,0.13804,2.2214E-11,24.41,,566.02,0.14437,4.80E-11,24.41,,637.82,0.15072,1.41E-11,24.41,,716.05,0.15711,4.30E-12,24.41,,801,0.16351,6.45E-11,24.41,,893.15,0.16997,4.04E-11,24.41,,942.04,0.1732,4.04E-11,24.41,,846.13,0.16673,6.27E-12,24.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.31E-11,24.61,,440.21,0.13176,7.8432E-12,24.61,,500.26,0.13804,4.5537E-12,24.61,,566.02,0.14437,2.18E-11,24.61,,637.82,0.15072,1.50E-11,24.61,,716.05,0.15711,1.54E-11,24.61,,801,0.16351,5.71E-12,24.61,,893.15,0.16997,1.93E-11,24.61,,942.04,0.1732,2.65E-11,24.61,,846.13,0.16673,5.08E-11,24.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,3.12E-11,24.81,,440.21,0.13176,3.1469E-12,24.81,,500.26,0.13804,3.842E-12,24.81,,566.02,0.14437,3.38E-11,24.81,,637.82,0.15072,1.91E-11,24.81,,716.05,0.15711,1.37E-10,24.81,,801,0.16351,2.03E-11,24.81,,893.15,0.16997,2.59E-11,24.81,,942.04,0.1732,4.90E-11,24.81,,846.13,0.16673,1.86E-11,24.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.73E-11,25.01,,440.21,0.13176,1.0804E-11,25.01,,500.26,0.13804,3.3566E-12,25.01,,566.02,0.14437,4.17E-11,25.01,,637.82,0.15072,2.39E-11,25.01,,716.05,0.15711,4.24E-11,25.01,,801,0.16351,4.08E-11,25.01,,893.15,0.16997,1.61E-11,25.01,,942.04,0.1732,2.21E-11,25.01,,846.13,0.16673,1.00E-10,25.01,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.98E-11,25.21,,440.21,0.13176,1.302E-11,25.21,,500.26,0.13804,2.3037E-11,25.21,,566.02,0.14437,5.81E-12,25.21,,637.82,0.15072,2.85E-12,25.21,,716.05,0.15711,4.54E-12,25.21,,801,0.16351,6.43E-12,25.21,,893.15,0.16997,1.40E-11,25.21,,942.04,0.1732,1.89E-11,25.21,,846.13,0.16673,5.76E-11,25.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.53E-11,25.41,,440.21,0.13176,2.9293E-12,25.41,,500.26,0.13804,3.4849E-11,25.41,,566.02,0.14437,2.90E-11,25.41,,637.82,0.15072,5.63E-11,25.41,,716.05,0.15711,9.79E-12,25.41,,801,0.16351,6.03E-12,25.41,,893.15,0.16997,3.08E-11,25.41,,942.04,0.1732,5.90E-12,25.41,,846.13,0.16673,7.49E-12,25.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.58E-11,25.61,,440.21,0.13176,1.9796E-11,25.61,,500.26,0.13804,5.9544E-12,25.61,,566.02,0.14437,2.40E-12,25.61,,637.82,0.15072,2.52E-11,25.61,,716.05,0.15711,2.27E-11,25.61,,801,0.16351,2.99E-11,25.61,,893.15,0.16997,1.28E-11,25.61,,942.04,0.1732,3.97E-12,25.61,,846.13,0.16673,4.89E-11,25.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.29E-11,25.81,,440.21,0.13176,3.011E-12,25.81,,500.26,0.13804,2.1161E-11,25.81,,566.02,0.14437,5.28E-12,25.81,,637.82,0.15072,1.05E-11,25.81,,716.05,0.15711,2.20E-11,25.81,,801,0.16351,1.59E-11,25.81,,893.15,0.16997,1.00E-11,25.81,,942.04,0.1732,4.18E-11,25.81,,846.13,0.16673,2.81E-11,25.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.24E-11,26.01,,440.21,0.13176,1.6804E-11,26.01,,500.26,0.13804,5.649E-11,26.01,,566.02,0.14437,3.15E-12,26.01,,637.82,0.15072,2.05E-11,26.01,,716.05,0.15711,6.11E-11,26.01,,801,0.16351,2.07E-11,26.01,,893.15,0.16997,1.40E-11,26.01,,942.04,0.1732,2.19E-11,26.01,,846.13,0.16673,4.47E-11,26.01,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.53E-11,26.21,,440.21,0.13176,2.7693E-11,26.21,,500.26,0.13804,4.8707E-11,26.21,,566.02,0.14437,8.43E-12,26.21,,637.82,0.15072,1.46E-11,26.21,,716.05,0.15711,7.78E-11,26.21,,801,0.16351,1.68E-11,26.21,,893.15,0.16997,2.31E-11,26.21,,942.04,0.1732,2.02E-11,26.21,,846.13,0.16673,2.85E-11,26.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.76E-11,26.41,,440.21,0.13176,6.9704E-12,26.41,,500.26,0.13804,8.9129E-13,26.41,,566.02,0.14437,9.34E-11,26.41,,637.82,0.15072,3.89E-11,26.41,,716.05,0.15711,3.04E-11,26.41,,801,0.16351,3.49E-12,26.41,,893.15,0.16997,3.85E-11,26.41,,942.04,0.1732,5.49E-11,26.41,,846.13,0.16673,6.06E-11,26.41,,,,,
