0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.505662492,175034.6214,171.6433945,,0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.518111675,113175.9546,136.7966094,,0.520982479,98647.98694,129.900645,,0.519066404,90342.34753,127.1936752,,0.515625499,79142.24664,122.334213,,0.517385152,123378.6164,141.9310207,,0.512724551,145181.9923,154.5749507
662.44,251.04,10123,,570.44,241.04,8685.4,,767.33,261.05,11698,,662.44,251.04,10123,,570.44,241.04,8685.4,,492.5,231.03,7303.2,,424.64,221.03,6346.5,,365.04,211.03,5665.9,,313.27,201.03,4944,,530.05,236.03,7908.4,,614.56,246.04,9358.2
W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN)
39.453,0.11295,1578.1,,32.702,0.10845,1447.6,,46.747,0.11745,1705.7,,39.453,0.11295,1578.1,,32.702,0.10845,1447.6,,26.623,0.10395,1319.6,,21.016,9.95E-02,1186.6,,16.047,9.50E-02,1054.2,,11.645,9.05E-02,921.74,,29.668,0.1062,1385.3,,36.068,0.1107,1514.1
43.56,0.11546,1651.6,,36.465,0.11086,1521.7,,51.207,0.12006,1778.5,,43.56,0.11546,1651.6,,36.465,0.11086,1521.7,,29.629,0.10626,1384.6,,23.698,0.10166,1252.5,,18.301,9.71E-02,1116.2,,13.515,9.25E-02,980.15,,32.877,0.10856,1451.2,,39.76,0.11316,1583.7
47.654,0.11797,1720.9,,39.913,0.11327,1588.3,,55.886,0.12267,1851.8,,47.654,0.11797,1720.9,,39.913,0.11327,1588.3,,32.947,0.10857,1452.8,,26.427,0.10387,1315.1,,20.705,9.92E-02,1178.8,,15.522,9.45E-02,1039.3,,36.424,0.11092,1520.9,,43.803,0.11562,1655.7
51.971,0.12048,1790.9,,43.881,0.11568,1658.8,,60.774,0.12528,1927.2,,51.971,0.12048,1790.9,,43.881,0.11568,1658.8,,36.274,0.11088,1518.1,,29.581,0.10608,1383.7,,23.15,0.10128,1239.3,,17.658,9.65E-02,1098.9,,39.978,0.11328,1587.7,,47.845,0.11808,1724
56.483,0.12299,1861,,47.844,0.11809,1725.6,,65.824,0.12789,2001.3,,56.483,0.12299,1861,,47.844,0.11809,1725.6,,39.932,0.11319,1587.1,,32.563,0.10829,1445.1,,25.992,0.10339,1305.5,,19.925,9.85E-02,1158.9,,43.724,0.11564,1654.2,,52.087,0.12054,1792.6
61.181,0.1255,1931.5,,51.998,0.1205,1792.7,,71.128,0.1305,2079,,61.181,0.1255,1931.5,,51.998,0.1205,1792.7,,43.556,0.1155,1651.5,,35.732,0.1105,1507.6,,28.678,0.1055,1364.5,,22.209,0.1005,1216.4,,47.651,0.118,1720.7,,56.515,0.123,1861.5
66.045,0.12801,2001.3,,56.33,0.12291,1860.1,,76.616,0.13311,2156.5,,66.045,0.12801,2001.3,,56.33,0.12291,1860.1,,47.368,0.11781,1716.2,,39.066,0.11271,1570.9,,31.537,0.10761,1424.2,,24.754,0.10251,1277.3,,51.744,0.12036,1787.1,,61.118,0.12546,1930.5
71.12,0.13052,2079.2,,60.832,0.12532,1927.6,,82.326,0.13572,2233,,71.12,0.13052,2079.2,,60.832,0.12532,1927.6,,51.351,0.12012,1781,,42.71,0.11492,1636.8,,34.552,0.10972,1484.6,,27.3,0.10452,1334.6,,56,0.12272,1853.5,,65.886,0.12792,1999
76.435,0.13303,2153.9,,65.495,0.12773,1995.5,,88.294,0.13833,2317.6,,76.435,0.13303,2153.9,,65.495,0.12773,1995.5,,55.491,0.12243,1845.9,,46.291,0.11713,1698.3,,37.716,0.11183,1545.7,,29.989,0.10653,1392.2,,60.409,0.12508,1920,,70.823,0.13038,2074.9
81.901,0.13554,2227.8,,70.408,0.13014,2067.4,,94.462,0.14094,2402.4,,81.901,0.13554,2227.8,,70.408,0.13014,2067.4,,59.783,0.12474,1910.8,,50.046,0.11934,1760,,41.139,0.11394,1609,,32.82,0.10854,1450.3,,64.975,0.12744,1986.2,,76.016,0.13284,2148.3
